Course No,Section,Instructor,Enrollment,Responses,Percent
ECE 45,A01,"Lugannani, Robert",65,19,29.23%
ECE 5,B01,"Eldon, John",30,16,53.33%
ECE 5,B01,"Gilja, Vikash",30,16,53.33%
ECE 5,B01,"Hall, Drew A.",30,16,53.33%
ECE 5,B01,"Nguyen, Truong Quang",30,16,53.33%
ECE 5,B02,"Eldon, John",30,17,56.67%
ECE 5,B02,"Gilja, Vikash",30,17,56.67%
ECE 5,B02,"Hall, Drew A.",30,17,56.67%
ECE 5,B02,"Nguyen, Truong Quang",30,17,56.67%
ECE 5,B03,"Eldon, John",30,16,53.33%
ECE 5,B03,"Gilja, Vikash",30,16,53.33%
ECE 5,B03,"Hall, Drew A.",30,16,53.33%
ECE 5,B03,"Nguyen, Truong Quang",30,16,53.33%
ECE 5,B04,"Eldon, John",31,18,58.06%
ECE 5,B04,"Gilja, Vikash",31,18,58.06%
ECE 5,B04,"Hall, Drew A.",31,18,58.06%
ECE 5,B04,"Nguyen, Truong Quang",31,18,58.06%
ECE 5,B05,"Eldon, John",29,17,58.62%
ECE 5,B05,"Gilja, Vikash",29,17,58.62%
ECE 5,B05,"Hall, Drew A.",29,17,58.62%
ECE 5,B05,"Nguyen, Truong Quang",29,17,58.62%
ECE 5,B06,"Eldon, John",29,17,58.62%
ECE 5,B06,"Gilja, Vikash",29,17,58.62%
ECE 5,B06,"Hall, Drew A.",29,17,58.62%
ECE 5,B06,"Nguyen, Truong Quang",29,17,58.62%
ECE 65,A50,"Baghdadchi, Saharnaz",7,5,71.43%
ECE 65,A51,"Baghdadchi, Saharnaz",22,19,86.36%
ECE 65,A53,"Baghdadchi, Saharnaz",26,20,76.92%
ECE 65,A55,"Baghdadchi, Saharnaz",13,9,69.23%
ECON 1,A01,"Tocoian, Oana",97,45,46.39%
ECON 1,A02,"Tocoian, Oana",94,50,53.19%
ECON 1,A03,"Tocoian, Oana",90,51,56.67%
ECON 1,B01,"Tocoian, Oana",96,66,68.75%
ECON 1,B02,"Tocoian, Oana",83,45,54.22%
ECON 1,B03,"Tocoian, Oana",37,18,48.65%
ECON 1,C01,"Nieto-Barthaburu, Augusto",96,44,45.83%
ECON 1,C02,"Nieto-Barthaburu, Augusto",93,49,52.69%
ECON 1,C03,"Nieto-Barthaburu, Augusto",96,42,43.75%
ECON 100A,A01,"Famulari, Melissa",83,69,83.13%
ECON 100A,A02,"Famulari, Melissa",83,59,71.08%
ECON 100A,A03,"Famulari, Melissa",73,49,67.12%
ECON 100A,B01,"Famulari, Melissa",79,55,69.62%
ECON 100A,B02,"Famulari, Melissa",68,41,60.29%
ECON 100A,B03,"Famulari, Melissa",46,25,54.35%
ECON 100AH,A00,"Machina, Mark Joseph",9,1,11.11%
ECON 100AH,B00,"Machina, Mark Joseph",13,7,53.85%
ECON 100B,A01,"Levkoff, Steven B.",85,49,57.65%
ECON 100B,A02,"Levkoff, Steven B.",56,31,55.36%
ECON 100C,A01,"Sinitsyn, Maxim",71,19,26.76%
ECON 100C,A02,"Sinitsyn, Maxim",70,14,20.00%
ECON 100C,B01,"Sinitsyn, Maxim",61,9,14.75%
ECON 100C,B02,"Sinitsyn, Maxim",27,6,22.22%
ECON 100CH,A00,"Andreoni, James",8,3,37.50%
ECON 101,A00,"Bloom, Patrick Roll",56,11,19.64%
ECON 101,A00,"Muendler, Marc",56,11,19.64%
ECON 102,A01,"Bloom, Patrick Roll",122,49,40.16%
ECON 102,A01,"Muendler, Marc",122,49,40.16%
ECON 102,A02,"Bloom, Patrick Roll",121,37,30.58%
ECON 102,A02,"Muendler, Marc",121,37,30.58%
ECON 109,A01,"Watson, Joel Christopher",88,30,34.09%
ECON 109,A02,"Watson, Joel Christopher",35,11,31.43%
ECON 110A,A01,"Candido, Maria Teresa",94,33,35.11%
ECON 110A,A02,"Candido, Maria Teresa",93,33,35.48%
ECON 110B,A01,"Candido, Maria Teresa",93,28,30.11%
ECON 110B,A02,"Candido, Maria Teresa",72,18,25.00%
ECON 112,A00,"Rondina, Giacomo",19,12,63.16%
ECON 117,A00,"Lagakos, David P.",118,28,23.73%
ECON 120A,A01,"Foster, Carroll Baldwin",87,43,49.43%
ECON 120A,A02,"Foster, Carroll Baldwin",82,29,35.37%
ECON 120A,B01,"Candido, Maria Teresa",112,43,38.39%
ECON 120A,B02,"Candido, Maria Teresa",79,43,54.43%
ECON 120B,A01,"Nieto-Barthaburu, Augusto",76,15,19.74%
ECON 120B,A02,"Nieto-Barthaburu, Augusto",40,13,32.50%
ECON 120C,A01,"O, Mun Pyung",125,72,57.60%
ECON 120C,A02,"O, Mun Pyung",54,24,44.44%
ECON 122,A00,"Beare, Brendan",18,7,38.89%
ECON 130,A00,"Tang, Yuan Emily",66,22,33.33%
ECON 131,A00,"Jacobsen, Mark",298,177,59.40%
ECON 140,A00,"Clemens, Jeffrey",24,9,37.50%
ECON 147,A00,"Betts, Julian",101,52,51.49%
ECON 171,A01,"Newhouse, Herbert S",136,48,35.29%
ECON 171,A02,"Newhouse, Herbert S",44,9,20.45%
ECON 172A,A01,"Newhouse, Herbert S",127,41,32.28%
ECON 172A,A02,"Newhouse, Herbert S",60,16,26.67%
ECON 173A,A01,"O, Mun Pyung",143,74,51.75%
ECON 173A,A02,"O, Mun Pyung",70,34,48.57%
ECON 173B,A01,"Ramey, Garey",18,5,27.78%
ECON 176,A00,"Sinitsyn, Maxim",104,25,24.04%
ECON 2,A01,"Levkoff, Steven B.",92,43,46.74%
ECON 2,A02,"Levkoff, Steven B.",90,54,60.00%
ECON 3,A01,"Yu, Chu",63,41,65.08%
ECON 3,A02,"Yu, Chu",51,38,74.51%
ECON 4,A01,"Levkoff, Steven B.",87,54,62.07%
ECON 4,A02,"Levkoff, Steven B.",86,61,70.93%
EDS 116,A01,"Dean, Dallawrence Edward",24,8,33.33%
EDS 117,A01,"Gallagher-Geurtsen, Tricia Meghan",67,57,85.07%
EDS 117,B01,"Chung, Luz Marina",83,33,39.76%
EDS 118,A00,"Rodriguez, Victoria Calip",56,38,67.86%
EDS 120,A00,"Jones, Makeba",8,6,75.00%
EDS 124BR,A00,"Simon, Elizabeth A",101,43,42.57%
EDS 124BR,B00,"Simon, Elizabeth A",4,1,25.00%
EDS 125,A00,"Allen, Bobbie M",55,48,87.27%
EDS 126,A02,"Binder, Amy",7,4,57.14%
EDS 129A,A01,"Millstone, Rachel Diana",48,44,91.67%
EDS 130,A01,"Holtzman, Caren Lynn",20,12,60.00%
EDS 130,A02,"Holtzman, Caren Lynn",18,12,66.67%
EDS 130,A03,"Holtzman, Caren Lynn",18,8,44.44%
EDS 131,A01,"Wishard Guerra, Alison G.",43,19,44.19%
EDS 136,A01,"Drake, Kristy Nicole",26,21,80.77%
EDS 136,A02,"Drake, Kristy Nicole",27,27,100.00%
EDS 150,A00,"Hofstetter, Carolyn",19,13,68.42%
EDS 150,B00,"Van Ness, Karen Clark",17,9,52.94%
EDS 150,C00,"Dean, Dallawrence Edward",26,13,50.00%
EDS 25,A01,"Dean, Dallawrence Edward",20,10,50.00%
EDS 25,A02,"Dean, Dallawrence Edward",19,8,42.11%
EDS 25,A03,"Dean, Dallawrence Edward",18,7,38.89%
EDS 25,A04,"Dean, Dallawrence Edward",18,10,55.56%
EDS 25,A05,"Dean, Dallawrence Edward",20,12,60.00%
EDS 31,A00,"Bussey, Thomas J",1,0,0.00%
EDS 39,A01,"Heinzman, Erica M.",19,19,100.00%
EDS 50,A00,"Hofstetter, Carolyn",22,12,54.55%
EDS 50,B00,"Hofstetter, Carolyn",27,19,70.37%
EDS 50,C00,"Dean, Dallawrence Edward",12,6,50.00%
EDS 50,D00,"Hofstetter, Carolyn",30,18,60.00%
EDS 50,E00,"Hofstetter, Carolyn",19,9,47.37%
EDS 50,F00,"Dean, Dallawrence Edward",30,22,73.33%
EDS 50,G00,"Van Ness, Karen Clark",8,5,62.50%
EDS 50,H00,"Hofstetter, Carolyn",29,15,51.72%
ENG 10,A00,"Vargas Consuelos, Carlos Ingram",17,7,41.18%
ENG 10,B00,"Choi, Seongcheol",20,15,75.00%
ENG 10,C00,"Evdokimenko, Ekaterina",22,14,63.64%
ENG 100D,A00,"Bratton, Maryann",60,44,73.33%
ENG 100D,F00,"Bratton, Maryann",53,39,73.58%
ENG 100L,A00,"Nguyen, Truong Quang",8,5,62.50%
ENG 100L,F00,"Kleissl, Jan",8,4,50.00%
ENG 100L,G00,"Bratton, Maryann",8,2,25.00%
ENG 100L,H00,"Bratton, Maryann",9,1,11.11%
ENG 100L,I00,"Goldberg, Charles G.",8,1,12.50%
ENG 100L,J00,"de Oliveira, Mauricio",4,2,50.00%
ENVR 102,A00,"Henter, Heather J.",22,19,86.36%
ENVR 30,A01,"Shaheen, Robina",17,12,70.59%
ENVR 30,A02,"Shaheen, Robina",25,21,84.00%
ENVR 30,A03,"Shaheen, Robina",27,20,74.07%
ENVR 30,A04,"Shaheen, Robina",24,22,91.67%
ENVR 30,A05,"Shaheen, Robina",25,21,84.00%
ENVR 30,A06,"Shaheen, Robina",24,20,83.33%
ERC 1,A01,"Herbst, Matthew",20,13,65.00%
ERC 1,A02,"Herbst, Matthew",17,15,88.24%
ERC 1,A03,"Herbst, Matthew",15,8,53.33%
ERC 1,A04,"Herbst, Matthew",25,21,84.00%
ERC 1,A05,"Herbst, Matthew",26,17,65.38%
ERC 2,A01,"Herbst, Matthew",11,3,27.27%
ERC 2,A02,"Herbst, Matthew",19,14,73.68%
ERC 2,A03,"Herbst, Matthew",13,7,53.85%
ERC 20,A00,"Evans, Ivan T",16,9,56.25%
ERC 20,B00,"Evans, Ivan T",14,12,85.71%
ERC 87,A00,"Herbst, Matthew",13,9,69.23%
ERC 89,A00,"Evans, Ivan T",5,2,40.00%
ESYS 101,A01,"Allen, Eric",36,15,41.67%
ESYS 101,A01,"Taylor, Jennifer Rebecca",36,15,41.67%
ESYS 101,A02,"Allen, Eric",38,15,39.47%
ESYS 101,A02,"Taylor, Jennifer Rebecca",38,15,39.47%
ESYS 101,A03,"Allen, Eric",36,16,44.44%
ESYS 101,A03,"Taylor, Jennifer Rebecca",36,16,44.44%
ESYS 101,A04,"Allen, Eric",35,15,42.86%
ESYS 101,A04,"Taylor, Jennifer Rebecca",35,15,42.86%
ESYS 90,A00,"Teranes, Jane",26,18,69.23%
ETHN 1,A01,"Gore, Dayo F.",19,9,47.37%
ETHN 1,A02,"Gore, Dayo F.",24,7,29.17%
ETHN 1,A03,"Gore, Dayo F.",28,19,67.86%
ETHN 1,A04,"Gore, Dayo F.",28,16,57.14%
ETHN 1,A05,"Gore, Dayo F.",21,11,52.38%
ETHN 1,A06,"Gore, Dayo F.",22,11,50.00%
ETHN 1,A07,"Gore, Dayo F.",25,11,44.00%
ETHN 1,A08,"Gore, Dayo F.",25,10,40.00%
ETHN 1,A09,"Gore, Dayo F.",25,12,48.00%
ETHN 1,A10,"Gore, Dayo F.",25,12,48.00%
ETHN 1,A11,"Gore, Dayo F.",23,20,86.96%
ETHN 1,A12,"Gore, Dayo F.",25,15,60.00%
ETHN 1,A13,"Gore, Dayo F.",23,13,56.52%
ETHN 1,A14,"Gore, Dayo F.",24,11,45.83%
ETHN 1,A15,"Gore, Dayo F.",25,13,52.00%
ETHN 1,A16,"Gore, Dayo F.",24,13,54.17%
ETHN 100A,A00,"Espiritu, Yen",37,14,37.84%
ETHN 103,A00,"Kharputly, Nadeen Sh B",34,27,79.41%
ETHN 113,A00,"Montesinos, Jorge Roberto",30,9,30.00%
ETHN 118,A00,"Dorr, Kirstie A.",53,21,39.62%
ETHN 123,A00,"Ho, Lisa",33,15,45.45%
ETHN 151,A00,"Ho, Lisa",36,16,44.44%
ETHN 152,A00,"Kharputly, Nadeen Sh B",32,25,78.13%
ETHN 163E,A00,"Patel, Shaista",14,6,42.86%
ETHN 168,A00,"Nicolazzo, Sarah E.",9,3,33.33%
ETHN 178,A00,"Borgo, David Garcia",29,20,68.97%
ETHN 185,A00,"Daly, Heather Marie",28,13,46.43%
ETHN 190,A01,"Blaise, Jean G",4,1,25.00%
ETHN 190,A02,"Blaise, Jean G",3,2,66.67%
ETHN 20,B01,"Kozen, Cathleen Kiyomi",25,9,36.00%
ETHN 20,B02,"Kozen, Cathleen Kiyomi",31,14,45.16%
FILM 87,A00,"Havis, Allan",19,8,42.11%
FILM 87,B00,"Havis, Allan",19,11,57.89%
FILM 87,C00,"Rahimi, Babak",20,9,45.00%
FILM 87,D00,"Rahimi, Babak",19,10,52.63%
FILM 87,E00,"Rahimi, Babak",10,5,50.00%
FMPH 101,A00,"Brouwer, Kimberly",64,40,62.50%
FMPH 102,A00,"Vaida, Florin",65,58,89.23%
FMPH 120,C00,"McMenamin, Sara B",64,57,89.06%
FMPH 120,D00,"McMenamin, Sara B",62,57,91.94%
FMPH 130,A00,"Ryan, Margaret Angela Kapp",61,56,91.80%
FMPH 191,A00,"Zoumas-Morse, Christine E.",24,15,62.50%
FMPH 196A,A00,"Binkin, Nancy Jeanne",13,11,84.62%
FMPH 40,A00,"Anderson, Cheryl",142,116,81.69%
GLBH 105,A00,"Saravia, Paula F",23,20,86.96%
GLBH 111,A01,"Burgos, Jose L.",22,11,50.00%
GLBH 111,A01,"Ojeda, Victoria D.",22,11,50.00%
GLBH 146,A00,"Kang, Byung Chu",33,21,63.64%
GLBH 148,A00,"Saravia, Paula F",116,103,88.79%
GLBH 160,A00,"Mackey, Timothy Ken",65,30,46.15%
GLBH 181,A00,"Pitpitan, Eileen Virtusio",110,91,82.73%
GLBH 20,A01,"Kozelka, Ellen Elizabeth",109,100,91.74%
HDP 1,A01,"Reese, Clarissa Jane",26,17,65.38%
HDP 1,A02,"Reese, Clarissa Jane",26,7,26.92%
HDP 1,A03,"Reese, Clarissa Jane",24,10,41.67%
HDP 1,A04,"Reese, Clarissa Jane",23,14,60.87%
HDP 1,A05,"Reese, Clarissa Jane",27,12,44.44%
HDP 1,A06,"Reese, Clarissa Jane",24,13,54.17%
HDP 1,A07,"Reese, Clarissa Jane",28,14,50.00%
HDP 111,A00,"Wilder, Linnea Lorene",32,12,37.50%
HDP 121,A00,"Deak, Gedeon O.",32,13,40.63%
HDP 150,A00,"Ark, Wendy S",13,5,38.46%
HDP 171,A00,"Blaise, Jean G",42,24,57.14%
HDP 175,A00,"Blaise, Jean G",35,18,51.43%
HDP 181,A01,"Ark, Wendy S",23,11,47.83%
HDP 191,A01,"Reese, Clarissa Jane",9,3,33.33%
HDP 191,B01,"Reese, Clarissa Jane",10,1,10.00%
HIAF 111,A00,"Prestholdt, Jeremy",87,37,42.53%
HIEA 137,A00,"Lu, Weijing",63,31,49.21%
HIEA 153,A00,"Henry, Todd A.",54,35,64.81%
HIEU 103,A00,"Watts, Edward J.",72,38,52.78%
HIEU 116A,A00,"Mylonakis, Leonidas",74,65,87.84%
HIEU 127,A00,"Edelman, Robert S.",70,26,37.14%
HIEU 137,A00,"Stout, James E",24,13,54.17%
HIEU 144,A00,"Devereux, Andrew W",32,22,68.75%
HIEU 154,A00,"Neuheiser, Joerg",65,59,90.77%
HIEU 161,A00,"Petkas, Alexander J",17,8,47.06%
HIEU 164,A00,"Devereux, Andrew W",3,1,33.33%
HILA 103,A00,"Morales Fontanilla, Manuel Antonio",40,39,97.50%
HILA 114,A00,"Cowan, Benjamin A",34,16,47.06%
HILA 161,A00,"Cowan, Benjamin A",13,2,15.38%
HILD 10,A01,"Schneewind, Sarah",28,23,82.14%
HILD 10,A02,"Schneewind, Sarah",29,24,82.76%
HILD 10,A03,"Schneewind, Sarah",29,25,86.21%
HILD 10,A04,"Schneewind, Sarah",31,22,70.97%
HILD 10,A05,"Schneewind, Sarah",29,21,72.41%
HILD 10,A06,"Schneewind, Sarah",23,17,73.91%
HILD 2A,A01,"Wishon, Mark T",33,15,45.45%
HILD 2A,A02,"Wishon, Mark T",30,11,36.67%
HILD 2A,A03,"Wishon, Mark T",30,14,46.67%
HILD 2A,A04,"Wishon, Mark T",29,15,51.72%
HILD 2A,A05,"Wishon, Mark T",29,15,51.72%
HILD 2A,A06,"Wishon, Mark T",30,20,66.67%
HILD 7A,A01,"Graham, Jessica Lynn",31,16,51.61%
HILD 7A,A02,"Graham, Jessica Lynn",31,17,54.84%
HILD 7A,A03,"Graham, Jessica Lynn",31,17,54.84%
HILD 7A,A04,"Graham, Jessica Lynn",32,13,40.63%
HILD 7A,A05,"Graham, Jessica Lynn",30,16,53.33%
HILD 7A,A06,"Graham, Jessica Lynn",32,10,31.25%
HILD 7A,A07,"Graham, Jessica Lynn",32,11,34.38%
HILD 7A,A08,"Graham, Jessica Lynn",32,16,50.00%
HILD 7A,A09,"Graham, Jessica Lynn",31,14,45.16%
HILD 7A,A10,"Graham, Jessica Lynn",32,10,31.25%
HILD 7A,A11,"Graham, Jessica Lynn",28,13,46.43%
HILD 7A,A12,"Graham, Jessica Lynn",32,12,37.50%
HINE 114,A00,"Kayali, Hasan",61,19,31.15%
HINE 119,A00,"Provence, Michael",58,20,34.48%
HISC 107,A00,"Golan, Tal",58,33,56.90%
HISC 116,A00,"Gere, Catherina M.",107,41,38.32%
HITO 136,A00,"Hertz, Deborah",49,35,71.43%
HITO 192,A00,"Kwak, Nancy",2,0,0.00%
HITO 87,A00,"Patterson, Patrick H.",9,7,77.78%
HITO 87,C00,"Schneewind, Sarah",3,2,66.67%
HIUS 129,A00,"Newton, Joshua Dean",24,10,41.67%
HIUS 137,A00,"Hendrickson, Gerald M.",31,14,45.16%
HIUS 152A,A00,"Vandevelde, Kenneth Joseph",41,16,39.02%
HUM 3,A01,"Lyon, Antony J.",25,20,80.00%
HUM 3,A02,"Lyon, Antony J.",26,22,84.62%
HUM 3,A03,"Lyon, Antony J.",27,22,81.48%
HUM 3,A04,"Lyon, Antony J.",24,20,83.33%
HUM 3,A05,"Lyon, Antony J.",29,23,79.31%
HUM 3,A06,"Lyon, Antony J.",27,21,77.78%
HUM 3,A07,"Lyon, Antony J.",27,20,74.07%
HUM 3,A08,"Lyon, Antony J.",27,19,70.37%
HUM 3,A09,"Lyon, Antony J.",26,21,80.77%
HUM 3,A10,"Lyon, Antony J.",29,25,86.21%
HUM 3,B03,"Patterson, Patrick H.",22,17,77.27%
HUM 3,B04,"Patterson, Patrick H.",25,15,60.00%
HUM 3,B05,"Patterson, Patrick H.",27,26,96.30%
HUM 3,B06,"Patterson, Patrick H.",30,21,70.00%
HUM 3,B07,"Patterson, Patrick H.",28,16,57.14%
HUM 3,B08,"Patterson, Patrick H.",29,23,79.31%
HUM 3,B09,"Patterson, Patrick H.",28,26,92.86%
HUM 3,B10,"Patterson, Patrick H.",28,25,89.29%
HUM 3,C01,"Markman, Kristina",26,24,92.31%
HUM 3,C02,"Markman, Kristina",27,23,85.19%
HUM 3,C05,"Markman, Kristina",19,15,78.95%
HUM 3,C06,"Markman, Kristina",27,21,77.78%
HUM 3,C07,"Markman, Kristina",29,27,93.10%
HUM 3,C08,"Markman, Kristina",28,23,82.14%
HUM 3,D01,"Henderson, David Kenneth",28,20,71.43%
HUM 3,D02,"Henderson, David Kenneth",27,24,88.89%
HUM 3,D03,"Henderson, David Kenneth",18,16,88.89%
HUM 3,D04,"Henderson, David Kenneth",13,12,92.31%
HUM 3,D05,"Henderson, David Kenneth",26,21,80.77%
HUM 3,D06,"Henderson, David Kenneth",18,11,61.11%
INTL 101,A01,"Vargas, Manuel Rogelio",27,18,66.67%
INTL 101,A02,"Vargas, Manuel Rogelio",29,16,55.17%
INTL 101,A03,"Vargas, Manuel Rogelio",30,20,66.67%
INTL 101,A04,"Vargas, Manuel Rogelio",28,22,78.57%
INTL 101,A05,"Vargas, Manuel Rogelio",31,14,45.16%
INTL 101,A06,"Vargas, Manuel Rogelio",30,8,26.67%
INTL 101,A07,"Vargas, Manuel Rogelio",29,13,44.83%
INTL 101,A08,"Vargas, Manuel Rogelio",31,19,61.29%
INTL 102,A01,"Walter, Barbara Florence",32,18,56.25%
INTL 102,A02,"Walter, Barbara Florence",32,14,43.75%
INTL 102,A03,"Walter, Barbara Florence",32,23,71.88%
INTL 102,A04,"Walter, Barbara Florence",31,13,41.94%
INTL 102,A05,"Walter, Barbara Florence",31,11,35.48%
INTL 102,A06,"Walter, Barbara Florence",29,14,48.28%
INTL 102,A07,"Walter, Barbara Florence",32,16,50.00%
INTL 102,A08,"Walter, Barbara Florence",28,16,57.14%
INTL 190,A00,"Adida, Claire",18,9,50.00%
INTL 190,B00,"Samstad, James G.",19,5,26.32%
INTL 190,C00,"Auerbach, Bradford C",20,20,100.00%
INTL 190,D00,"Nadkarni, Vidya",20,7,35.00%
INTL 190,E00,"Samphantharak, Krislert",21,9,42.86%
INTL 190,F00,"Clemens, Jeffrey",6,5,83.33%
INTL 190,G00,"Kshatriya, Krista C",18,7,38.89%
INTL 190,H00,"Shafir, Gershon",18,4,22.22%
INTL 190H,A00,"Gilson, Nancy",19,11,57.89%
JAPN 10A,A00,"Simpson, Junko Tokuda",29,17,58.62%
JAPN 10A,B00,"Inada, Minori",32,16,50.00%
JAPN 10A,C00,"Maruyama, Rie",25,17,68.00%
JAPN 10A,D00,"Takeda, Izumi",28,20,71.43%
JAPN 10A,E00,"Simpson, Junko Tokuda",31,24,77.42%
JAPN 10A,F00,"Tipton, Yuko",31,18,58.06%
JAPN 10A,G00,"Maruyama, Rie",27,16,59.26%
JAPN 10A,H00,"Takeda, Izumi",30,15,50.00%
JAPN 10A,I00,"Inada, Minori",30,16,53.33%
JAPN 10A,J00,"Tipton, Yuko",31,15,48.39%
JAPN 10A,K00,"Inada, Minori",28,17,60.71%
JAPN 10A,L00,"Kamioka, Sachiko",30,17,56.67%
JAPN 10A,M00,"Ross, Kayoko F",30,16,53.33%
JAPN 10A,N00,"Kamioka, Sachiko",29,14,48.28%
JAPN 10A,P00,"Iwamoto, Naoki",24,17,70.83%
JAPN 10A,Q00,"Ross, Kayoko F",29,15,51.72%
JAPN 130A,A00,"Sato, Kyoko",22,14,63.64%
JAPN 130A,B00,"Sato, Kyoko",20,10,50.00%
JAPN 135A,A00,"Takeda, Izumi",19,19,100.00%
JAPN 140A,A00,"McKee, Mayumi Mochizuki",15,14,93.33%
JAPN 150A,A00,"Simpson, Junko Tokuda",7,2,28.57%
JAPN 20A,B00,"Sato, Kyoko",27,23,85.19%
JAPN 20A,D00,"Ross, Kayoko F",29,11,37.93%
JAPN 20A,E00,"Iwamoto, Naoki",31,13,41.94%
JAPN 20A,F00,"Maruyama, Rie",31,20,64.52%
JAPN 20A,G00,"McKee, Mayumi Mochizuki",29,21,72.41%
JAPN 20A,H00,"McKee, Mayumi Mochizuki",27,21,77.78%
JAPN 20A,I00,"Iwamoto, Naoki",29,23,79.31%
JUDA 1,A03,"Shuster, Alana",7,2,28.57%
JUDA 1,A04,"Shuster, Alana",9,5,55.56%
JUDA 101,A01,"Shuster, Alana",7,4,57.14%
LATI 50,A01,"Montesinos, Jorge Roberto",53,25,47.17%
LATI 50,A02,"Montesinos, Jorge Roberto",47,21,44.68%
LAWS 101,A00,"Ng, Kwai",58,22,37.93%
LIGN 101,A00,"Styler, William Francis",121,76,62.81%
LIGN 110,A00,"Garellek, Marc",72,67,93.06%
LIGN 146,A00,"Lott, Margaret S.",24,20,83.33%
LIGN 167,A00,"Bergen, Leon",158,43,27.22%
LIGN 179,A00,"Kluender, Robert",38,31,81.58%
LIGN 180,A00,"Kluender, Robert",59,48,81.36%
LIGN 5,A00,"Goodall, Grant Todd",64,39,60.94%
LIGN 8,A00,"Biswas, Priyanka",213,108,50.70%
LIHL 112F,A00,"Alicio, Atilio",20,9,45.00%
LIHL 114F,A00,"Hill, Kimloan T.V.",17,10,58.82%
LIHL 115F,A00,"Sadegholvad, Elham",10,3,30.00%
LIHL 117F,A00,"Sadegholvad, Elham",17,14,82.35%
LIHL 119F,A00,"Sadegholvad, Elham",26,9,34.62%
LIHL 124F,A00,"Hill, Kimloan T.V.",16,4,25.00%
LIHL 132F,A00,"Alicio, Atilio",13,6,46.15%
LIHL 134F,A00,"Hill, Kimloan T.V.",11,6,54.55%
LISP 18,A00,"Munoz Sanchez, Alicia",12,10,83.33%
LTAM 110,A00,"Martin-Cabrera, Luis",54,22,40.74%
LTCS 50,A00,"Wesling, Megan E.",29,14,48.28%
LTEA 120A,A01,"Zhang, Yingjin",322,145,45.03%
LTEA 138,A01,"Miyao, Daisuke",390,133,34.10%
LTEN 112,A00,"Vitkus, Daniel J.",21,10,47.62%
LTEN 140,A00,"Nicolazzo, Sarah E.",39,15,38.46%
LTEN 144,A00,"Vijay, Ameeth Varma",16,15,93.75%
LTEN 154,A00,"Tonkovich, Nicole",17,6,35.29%
LTEN 158,A00,"Suzuki, Erin M.",31,11,35.48%
LTEN 175A,A00,"Wesling, Megan E.",20,6,30.00%
LTEN 178,A00,"Nicolazzo, Sarah E.",32,13,40.63%
LTEN 21,A01,"Vitkus, Daniel J.",30,20,66.67%
LTEN 21,A02,"Vitkus, Daniel J.",29,18,62.07%
LTEN 25,A01,"Walkiewicz, Kathryn A",31,16,51.61%
LTEN 25,A02,"Walkiewicz, Kathryn A",32,18,56.25%
LTEN 28,A01,"Suzuki, Erin M.",33,27,81.82%
LTEN 28,A02,"Suzuki, Erin M.",32,20,62.50%
LTEN 28,A03,"Suzuki, Erin M.",32,18,56.25%
LTEN 28,A04,"Suzuki, Erin M.",33,20,60.61%
LTEN 28,A05,"Suzuki, Erin M.",17,7,41.18%
LTEU 150A,A00,"Glaser, Amelia",16,13,81.25%
LTFR 115,A00,"Zhiri, Oumelbanine",14,6,42.86%
LTFR 2B,A01,"Ploye, Catherine",17,6,35.29%
LTFR 50,A00,"Ploye, Catherine",14,7,50.00%
LTGK 1,A00,"Myerston Santana, Jacobo",14,12,85.71%
LTGK 103,A00,"duBois, Page Ann",13,3,23.08%
LTGM 101,A00,"Kontje, Todd Curtis",11,5,45.45%
LTGM 2A,A01,"Fischer-Grunski, Eva K",22,9,40.91%
LTIT 100,A00,"De Marchi Gherini, Adriana",6,4,66.67%
LTIT 2A,A01,"De Marchi Gherini, Adriana",31,14,45.16%
LTKO 149,A00,"Lee, Jeyseon",10,2,20.00%
LTKO 2A,A01,"Lee, Jeyseon",22,8,36.36%
LTKO 2A,B01,"Lee, Jeyseon",18,6,33.33%
LTKO 2A,C01,"Lee, Jeyseon",24,10,41.67%
LTKO 2A,D01,"Lee, Jeyseon",24,13,54.17%
LTKO 3,A00,"Lee, Jeyseon",8,1,12.50%
LTLA 1,A00,"Wirshbo, Eliot",24,11,45.83%
LTLA 1,B00,"Murray, Kourtney Kristine",34,19,55.88%
LTLA 103,A00,"Wirshbo, Eliot",21,7,33.33%
LTRU 104B,A01,"Wells, Patricia Rebecca",12,5,41.67%
LTRU 110A,A00,"Glaser, Amelia",7,5,71.43%
LTRU 1A,A01,"Wells, Patricia Rebecca",19,7,36.84%
LTRU 1A,A02,"Wells, Patricia Rebecca",15,11,73.33%
LTRU 2A,A01,"Wells, Patricia Rebecca",24,9,37.50%
LTSP 123,A00,"Martin-Cabrera, Luis",21,8,38.10%
LTSP 174,A00,"Chacon, Gloria Elizabeth",21,15,71.43%
LTSP 176,A00,"Chacon, Gloria Elizabeth",11,5,45.45%
LTSP 2B,B01,"Pita, Beatrice M",21,14,66.67%
LTTH 110,A00,"Lerer, Seth",42,18,42.86%
LTWL 158A,A00,"Kalleres, Dayna",14,3,21.43%
LTWL 177,A00,"Jed, Stephanie H",62,24,38.71%
LTWL 181,A00,"Nguyen, Hoang Tan",27,14,51.85%
LTWL 194,A00,"Lerer, Seth",15,5,33.33%
LTWL 19A,A00,"Wirshbo, Eliot",39,18,46.15%
LTWL 87,A00,"Lampert-Weissig, Lisa",12,9,75.00%
